name,trainee_entry_requirements,section1_jobs,chronic_illness,hearing,learning,mental/intellectual,multiple,orthopedic,psychosocial,speech_impairment,visual,disability_tagging,sector
Agricultural Crops Production NC I,"Able to read and write; With good moral character; Ability to communicate, both oral and written; Physically fit and mentally healthy as certified by a Public Health Officer",Farm Laborer,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,"['Orthpedic', 'Psychosocial', 'Speech Impairment']","Agriculture, Forestry and Fishery"
Agricultural Crops Production NC II,"Able to read and write; With good moral character; Able to communicate, both orally and in writing; and Physically fit and mentally healthy as certified by a Public Health Officer","Farmer/Grower, Farm worker, Nursery operator, Farm aide, Farm caretaker",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,"['Multiple', 'Orthpedic', 'Psychosocial', 'Visual']","Agriculture, Forestry and Fishery"
Agricultural Crops Production NC III,"can communicate either oral and written
physically and mentally fit
with good moral character
can perform basic mathematical computation","Independent Farmer (Owner / Operator in a smaller operation, Leading hand",1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,"['Chronic Illness', 'Psychosocial']","Agriculture, Forestry and Fishery"
Agroentrepreneurship NC III,"Can communicate both orally and in writing; Can perform mensuration and calculation; and any of the three: Holder of AE NC II, or Holder of NC on Crop Production, Animal Production, Aquaculture, and Food Processing; With two (2) year experience for the last five (5) years in any of the above-mentioned areas (Agroenterprise, Crop Production, Animal Production, Aquaculture, and Food Processing); Graduate of Agriculture-related courses in any of the above-mentioned areas (Agroenterprise, Crop Production, Animal Production, Aquaculture, and Food Processing)",Farmer Leader,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,['Orthpedic'],"Agriculture, Forestry and Fishery"
Agroentrepreneurship NC IV,At least senior high school level or holder of AE NC III. Can communicate both orally and in writing. Can perform mensuration and calculation.,Agroenterprise Facilitator,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,['Orthpedic'],"Agriculture, Forestry and Fishery"
Animal Production (Poultry-Chicken) NC II,"Able to read and write; Able to communicate, both orally and in writing; and Physically fit and mentally healthy as certified by a Public Health Officer","Poultry farmer, Broiler raiser, Poultry farm worker, Layer raiser, Poultry farm assistant, Poultry breeder, Poultry farm caretaker, Flock man, Poultry service crew",1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,"['Chronic Illness', 'Multiple', 'Orthpedic', 'Visual']","Agriculture, Forestry and Fishery"
Animal Production (Ruminants) NC II,"Able to read and write; With good moral character; Able to communicate, both orally and in writing; and Physically fit and mentally healthy as certified by a Public Health Officer","Livestock Raiser/Farmer, Cattle Farm Worker (Specialist), Goat raiser/farmer, Dairy Raiser/Farmer",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['Orthpedic', 'Visual']","Agriculture, Forestry and Fishery"
Animal Production (Swine) NC II,"Able to read and write; With good moral character; Able to communicate, both orally and in writing; and Physically fit and mentally healthy as certified by a Public Health Officer","Swine Raiser/Farmer, Swine Production Technician, Swine Farm Specialist",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,"['Orthpedic', 'Visual']","Agriculture, Forestry and Fishery"
Artificial Insemination (Swine) NC II,"Able to read and write; With good moral character; Ability to communicate, both oral and written; and Physically fit and mentally healthy as certified by a Public Health Officer","Swine Artificial Insemination Technician, Swine Breeding Technician",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,['Orthpedic'],"Agriculture, Forestry and Fishery"
Automotive Servicing NC I,"Trainees or students should possess the following requirements: can communicate both oral and written; and can perform basic mathematical computation. This list does not include specific institutional requirements such as educational attainment, appropriate work experience, and others that may be required of the trainees by the school or training center delivering the TVET program.","Pre-delivery inspector, Check lister, Periodic maintenance personnel/staff, Periodic maintenance associate, Junior technician, Maintenance technician, Auto-service personnel",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,"['Learning', 'Visual']",Automotive and Land Transportation
Automotive Servicing NC II,"can communicate both oral and written; can perform basic mathematical computation. This list does not include specific institutional requirements such as educational attainment, appropriate work experience, and others that may be required of the trainees by the school or training center delivering the TVET program.","Automotive Mechanic, Automotive Service Technician",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,"['Learning', 'Orthpedic', 'Psychosocial']",Automotive and Land Transportation
Barista NC II,Must have completed a 10-year basic education. Good in oral and written communication.,"Barista, Prepare espresso, Texture milk, Prepare and serve coffee beverages, Perform basic maintenance of machine and equipment, Perform basic cashiering and general control procedures",0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,"['Psychosocial', 'Speech Impairment']",Tourism (Hotel and Restaurant)
Bartending NC II,"Trainees or students who wish to enter training leading to these qualifications should possess the following requirements: can communicate in basic English either oral and written, at least 10-year basic education graduate, can perform basic mathematical computation","Bartender/Barkeeper, Bar Utility/Back",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,['Speech Impairment'],Tourism (Hotel and Restaurant)
Beauty Care NC II,"Trainees or students wishing to gain entry into these qualifications should possess the following requirements: MUST be able to communicate effectively both orally and in written form MUST be physically, emotionally, psychologically and mentally fit MUST be able to perform basic mathematical computation",Junior Beautician,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"['Orthpedic', 'Psychosocial', 'Speech Impairment']","Social, Community Development and Other Services"
Beauty Care Services (Nail Care) NC II,"MUST be able to communicate effectively both orally and in written form
MUST be physically, emotionally, psychologically and mentally fit
MUST be able to perform basic mathematical computation (Fundamental Operation)
MUST secure a medical certificate for fitness to handle chemicals","Manicurist / Pedicurist, Nail Technician",0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,['Speech Impairment'],"Social, Community Development and Other Services"
Bookkeeping NC III,"Must be able to communicate effectively both orally and in written form. Must be physically, emotionally, psychologically and mentally fit. Must be able to perform basic mathematical computations.","Bookkeeper, Accounting Clerk",1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,"['Chronic Illness', 'Orthpedic', 'Speech Impairment', 'Visual']","Social, Community Development and Other Services"
Bread and Pastry Production NC II,can communicate in basic English either oral and written; at least high school graduate; physically and mentally fit; with good moral character; and can perform basic mathematical computation With pleasing personality,"Commis - Pastry, Baker",3.0,1.0,2.0,1.0,1.0,38.0,41.0,9.0,23.0,"['Chronic Illness', 'Hearing', 'Learning', 'Mental/Intellectual', 'Multiple', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Tourism (Hotel and Restaurant)
Caregiving NC II,"can communicate both in oral and written; physically and mentally fit; with good moral character; and can perform basic mathematical computation. This list does not include specific institutional requirements such as educational attainment, appropriate work experience, and others that may be required of the trainees by the school or training center delivering the TVET program.","Caregiver of an infant/toddler, Caregiver of a child, Caregiver of an elderly, Caregiver of people with special needs",0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,"['Orthpedic', 'Psychosocial', 'Speech Impairment']",Human Health / Health Care
Carpentry NC II,"A holder of National Certificate Level I
Good Moral Character
Ability to communicate
Physically fit and mentally healthy
Can perform basic mathematical computation and mensuration.",Rough Carpenter,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,"['Orthpedic', 'Psychosocial']",Construction
Computer Systems Servicing NC II,"Can communicate either oral and written; Must pass the trainability/aptitude test. This list does not include specific institutional requirements such as educational attainment, appropriate work experience, and others that may be required of the trainees by the school or training center delivering the TVET program.","Computer Assembler, Computer Service Technician, Network Technician, Computer Maintenance Technician",4.0,0.0,1.0,0.0,1.0,20.0,3.0,6.0,5.0,"['Chronic Illness', 'Learning', 'Multiple', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Electrical and Electronics
Construction Painting NC II,At least senior high school level or graduate; relevant industry experience (construction painting works) minimum of 2 years in all of the following: Able to communicate orally and in writing; and Can perform basic mathematical computation,Construction Painter,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"['Chronic Illness', 'Psychosocial']",Construction
Cookery NC II,Trainees or students wishing to gain entry into this course should possess the following requirements: can communicate both in oral and written; physically and mentally fit; with good moral character; and can perform basic mathematical computation,"Cook, Commis, Assistant Cook, Clean and maintain kitchen premises, Prepare stocks, sauces and soups, Prepare appetizers, Prepare salads and dressing, Prepare sandwiches, Prepare meat dishes, Prepare vegetables dishes, Prepare egg dishes, Prepare starch dishes, Prepare poultry and game dishes, Prepare seafood dishes, Prepare desserts, Package prepared food",3.0,0.0,9.0,0.0,0.0,19.0,12.0,15.0,5.0,"['Chronic Illness', 'Learning', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Tourism (Hotel and Restaurant)
Domestic Work NC II,Must have completed basic education or Holder of Alternative Learning Systems (ALS) certificate of completion with grade 10 equivalent; Must have good communication skills; Must be able to navigate through any online training platforms using electronic devices.,"Domestic Worker, Houseboy, Housemaid, Housekeeper, Hand-launderer, Helper Kitchen, Cleaner Hotel",0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,"['Psychosocial', 'Visual']","Social, Community Development and Other Services"
Dressmaking NC II,"can communicate both oral and written, physically and mentally fit, with good moral character, can perform basic mathematical computation","Draft and cut pattern of casual apparel, Prepare and cut materials of casual apparel, Sew casual apparel, Apply finishing touches on casual apparel, Dressmaker, Garment Sewer",0.0,10.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,"['Hearing', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Garments
Driving (Articulated Vehicle) NC III,With good moral character; Able to communicate both orally and in writing. Physically fit and mentally healthy as certified by a Public Health Officer. Holder of LTO license with restriction code 3.,"Articulated Vehicle Driver, Truck Trailer Driver",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['Learning'],Automotive and Land Transportation
Driving (Passenger BusStraight Truck) NC III,With good moral character; Able to communicate both orally and in writing. Physically fit and mentally healthy as certified by a Public Health Officer. Holder of LTO license with restriction code 2.,"Passenger Bus Driver, Straight Truck Driver",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Chronic Illness'],
Driving NC II,With good moral character; Able to communicate both orally and in writing; Physically fit and mentally healthy as certified by a Public Health Officer,"Professional Driver, Light Vehicle Drive",3.0,0.0,1.0,0.0,0.0,6.0,6.0,5.0,4.0,"['Chronic Illness', 'Learning', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Automotive and Land Transportation
Electrical Installation and Maintenance NC II,"This section specifies the qualifications of trainees including their education/experience. To qualify as trainee for Electrical Installation & Maintenance NC II, a candidate: must have completed at least 10 years basic education or an ALS certificate of achievement with grade 10 equivalent holder must be able to communicate both orally and in writing must be able to perform basic mathematical computation The list does not include specific institutional requirements such as educational attainment, appropriate work experience, and others that may be required of the trainees by the school or training center delivering the TVET program.","Building-Wiring Electrician, Residential/Commercial-Wiring Electrician, Maintenance Electrician",2.0,0.0,0.0,0.0,0.0,6.0,23.0,4.0,7.0,"['Chronic Illness', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Electrical and Electronics
Electrical Installation and Maintenance NC III,"The trainees who wish to enter the course should possess the following requirements: Must be a holder and/or have undergone training in Electrical Installation and Maintenance NC II or Mechatronics Servicing NC II This list does not include specific institutional requirements such as educational attainment, appropriate work experience, and others that may be required of the trainees by the school or training center delivering the TVET program.","Industrial Electrician, Electrical Leadman, Electrical Foreman",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Speech Impairment'],Electrical and Electronics
Electronics Products Assembly and Servicing NC II,The trainees who wish to enter the course should possess the following requirements: Must have completed at least 10 years basic education or an ALS grade 10 certificate of rating holder. Can communicate in oral and written language. Can perform basic mathematical computations.,"Electronic Product Assembler, Domestic Appliance Service Technician, Audio-Video Service Technician, Industrial Electronic Technician, Electronic Production Line Assembler, Factory Production Worker",1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,"['Chronic Illness', 'Multiple', 'Orthpedic', 'Visual']",Electrical and Electronics
Events Management Services NC III,"can communicate in basic English in both oral and written form
physically and mentally fit
with good moral character
can perform basic mathematical computation","Events Coordinator, Conference Coordinator, Function Coordinator",1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,"['Chronic Illness', 'Orthpedic', 'Psychosocial', 'Visual']",Tourism (Hotel and Restaurant)
Flux Cored Arc Welding (FCAW) NC II,"completed training in FCAW NC I or a holder of FCAW NC I, can communicate either oral and written, physically and mentally fit, can perform basic mathematical computation","Plate Welder (FCAW), Pipe Welder (FCAW)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Visual'],Metals and Engineering
Food and Beverage Services NC II,"can communicate in basic English both oral and written, at least completed the 10-year basic education, can perform basic mathematical computation","Waiter, Food and Beverage Service Attendant",0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,2.0,"['Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Tourism (Hotel and Restaurant)
Food Processing NC II,"can communicate both oral and written
physically and mentally fit
with good moral character
can perform basic mathematical computation","Production Aide, Packaging Aide",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,"['Chronic Illness', 'Orthpedic', 'Psychosocial', 'Visual']",Processed Food & Beverages
Gas Tungsten Arc Welding (GTAW) NC II,"completed training in SMAW NC II or a holder of SMAW NC II
can communicate both oral and written
physically and mentally fit
can perform basic mathematical computation",GTAW/TIG Welder,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,['Orthpedic'],Metals and Engineering
